stream_id,video_url,sport
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735221717_133222/video/1735221717_1333253.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735221909_4093478/video/1735221909_4094415.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735222060_3475075/video/1735222060_347605.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735222436_6016278/video/1735222436_601725.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735222596_7643178/video/1735222596_7644143.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735223953_3010647/video/1735223953_301146.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735224409_1809952/video/1735224409_1810791.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735224665_316651/video/1735224665_316771.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735225566_692166/video/1735225566_6922452.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735225713_4440496/video/1735225713_4441245.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735225851_4904141/video/1735225851_4905498.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735226542_890497/video/1735226542_8905945.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735226582_7653217/video/1735226582_7653997.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735226670_7173753/video/1735226670_7174792.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735226728_249034/video/1735226728_249149.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735227119_712667/video/1735227119_7127547.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735228539_183724/video/1735228539_1838126.mp4,football
,https://d1zxk9teuo4ijt.cloudfront.net/org_ff695401-9778-4434-b6fd-d43eb5120f4b/uaIhFMgMU/Clips/Man/1735228673_1985712/video/1735228673_1986575.mp4,football
